y,Sb
0.6305,0.002
0.6295,0.002
0.6285,0.002
0.6275,0.002
0.6265,0.002
0.6255,0.002
0.6245,0.002
0.6235,0.002
0.6225,0.002
0.6215,0.002
0.6205,0.002
0.6195,0.002
0.6185,0.002
0.6175,0.002
0.6165,0.002
0.6155,0.002
0.6145,0.002
0.6135,0.002
0.6125,0.002
0.6115,0.002
0.6105,0.002
0.6095,0.002
0.6085,0.002
0.6075,0.002
0.6065,0.002
0.6055,0.002
0.6045,0.002
0.6035,0.002
0.6025,0.002
0.6015,0.002
0.6005,0.002
0.5995,0.002
0.5985,0.002
0.5975,0.002
0.5965,0.002
0.5955,0.002
0.5945,0.002
0.5935,0.002
0.5925,0.002
0.5915,0.002
0.5905,0.002
0.5895,0.002
0.5885,0.002
0.5875,0.002
0.5865,0.002
0.5855,0.002
0.5845,0.002
0.5835,0.002
0.5825,0.002
0.5815,0.002
0.5805,0.002
0.5795,0.002
0.5785,0.002
0.5775,0.002
0.5765,0.002
0.5755,0.002
0.5745,0.002
0.5735,0.002
0.5725,0.002
0.5715,0.002
0.5705,0.002
0.5695,0.002
0.5685,0.002
0.5675,0.002
0.5665,0.002
0.5655,0.002
0.5645,0.002
0.5635,0.002
0.5625,0.002
0.5615,0.002
0.5605,0.002
0.5595,0.002
0.5585,0.002
0.5575,0.002
0.5565,0.002
0.5555,0.002
0.5545,0.002
0.5535,0.002
0.5525,0.002
0.5515,0.002
0.5505,0.002
0.5495,0.002
0.5485,0.002
0.5475,0.002
0.5465,0.002
0.5455,0.002
0.5445,0.002
0.5435,0.002
0.5425,0.00200001
0.5415,0.00200011
0.5405,0.00200126
0.5395,0.00201329
0.5385,0.00212347
0.5375,0.00270056
0.5365,0.00402274
0.5355,0.0060318
0.5345,0.00865691
0.5335,0.0118011
0.5325,0.0153587
0.5315,0.0192323
0.5305,0.0233406
0.5295,0.0276186
0.5285,0.0320156
0.5275,0.0364928
0.5265,0.0410204
0.5255,0.0455752
0.5245,0.0501398
0.5235,0.0547004
0.5225,0.0592466
0.5215,0.0637703
0.5205,0.0682653
0.5195,0.0727267
0.5185,0.077151
0.5175,0.0815354
0.5165,0.0858779
0.5155,0.090177
0.5145,0.0944319
0.5135,0.0986419
0.5125,0.102807
0.5115,0.106926
0.5105,0.111001
0.5095,0.11503
0.5085,0.119015
0.5075,0.122957
0.5065,0.126854
0.5055,0.13071
0.5045,0.134523
0.5035,0.138295
0.5025,0.142026
0.5015,0.145718
0.5005,0.149371
0.4995,0.152986
0.4985,0.156564
0.4975,0.160105
0.4965,0.163611
0.4955,0.167082
0.4945,0.170519
0.4935,0.173922
0.4925,0.177294
0.4915,0.180634
0.4905,0.183944
0.4895,0.187221
0.4885,0.190462
0.4875,0.193666
0.4865,0.196836
0.4855,0.199971
0.4845,0.203073
0.4835,0.206142
0.4825,0.209179
0.4815,0.212185
0.4805,0.215161
0.4795,0.218106
0.4785,0.221023
0.4775,0.223911
0.4765,0.226771
0.4755,0.229604
0.4745,0.23241
0.4735,0.235189
0.4725,0.237943
0.4715,0.240672
0.4705,0.243375
0.4695,0.246055
0.4685,0.24871
