y,Sb
9.75,0.002
9.25,0.002
8.75,0.166508
8.25,0.495533
7.75,0.660071
7.25,0.660114
6.75,0.660164
6.25,0.660216
5.75,0.660271
5.25,0.660327
4.75,0.660386
4.25,0.660524
3.75,0.674596
3.25,0.758371
2.75,0.8918
2.25,0.964376
1.75,0.975457
1.25,0.979284
0.75,0.982903
0.25,0.985866
